Retsku	Product Title	Detailed Description	Categorization	Product URL	Primary Image URL	Alternate Image URL	Selling Price	Regular Price	Condition	Manufacturer Name	Manufacturer Part Number	Availability	Gender	Bid Type	Bid Amount
ER1860L-10KT	10K Yellow Gold Diamond Stud Yankee Earrings 0.13 Ctw	"These finely detailed unisex diamond stud earrings are crafted in highly gleaming 10K Yellow Gold. The center features New York Yankees logo which is outlined with brilliant small round cut diamonds that weigh a total of 0.13 carats. The frame measures to 3/8 Inches in length and width and weighs approximately 1.8 grams. Securely locking with a screw back closure, these lovely unisex diamond earring studs are ideal for a casual fashion wear."	Jewelry & Watches > Fine Jewelry > Earrings	http://www.avianneandco.com/10k-yellow-gold-diamond-stud-yankee-earrings-0-13-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/r/er1860lyl-1_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/e/r/er1860lyl-2_1.jpg	245	750	New	Avianne & Co	ER1860L-10KT	Yes	men	Absolute	0.25
VE01267A	10K White Gold Diamond Stud Earrings 0.05 Ctw	These small stud earrings are handcrafted in lustrous 10k white gold. The center of each earring is micro set with very small round cut diamonds which are H in color and SI in clarity. The frame measures to 4.4 mm in length and width and securely locks with screw back closures.	Jewelry & Watches > Fine Jewelry > Earrings	http://www.avianneandco.com/10k-white-gold-diamond-stud-earrings-0-05-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/e/ve01267a-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/v/e/ve01267a-2.jpg	99	230	New	Avianne & Co	VE01267A	Yes	men	Absolute	0.25
R59195	14K White Solid Gold Three Stone Diamond Anniversary Ring 1.95 Ctw	This glamorous diamond three stone anniversary ring is crafted in lustrous 14K White Gold. Three princess cut diamonds are prong set in the center and total to 1.95 carats. The frame in the center measures to 1/4 Inches in width and the band weighs approximately 5.9 grams. This exquisite diamond anniversary ring is an ideal gift which gleams with beauty and loveliness.	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/14k-white-gold-three-stone-diamond-anniversary-ring-1-95-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/5/r59195-1_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/5/r59195-2.jpg	4912	14000	New	Avianne & Co	R59195	Yes	women	Absolute	0.25
TR2186M	14K Yellow Solid Gold Mens Diamond Wedding Band 0.05 Ctw	This elegant mens diamond wedding band is adorned with very small round cut diamonds which weigh approximately 0.05 carats. The frame is crafted in 14K Yellow Gold and weighs approximately 3.3 grams. This simple mens diamond wedding band is an ideal gift at a very affordable value.	Jewelry & Watches > Fine Jewelry > Rings	http://www.avianneandco.com/14k-yellow-gold-mens-diamond-wedding-band-0-05-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/r/tr2186m-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/t/r/tr2186m-2.jpg	250	687	New	Avianne & Co	TR2186M	Yes	men	Absolute	0.25
P77412	14K Yellow Solid Gold Diamond Cross Pendant 0.10 Ctw	This lovely unisex diamond cross is crafted in highly polished 14K Yellow Gold. The center is pave set with small round cut diamonds which weigh a total of 0.10 carats. The frame weighs approximately 2.3 grams and measures to 1 3/4 Inches in length and 3/4 Inches in width. This charming unisex diamond cross is an ideal accessory for an every day wear. Note: This chain is for illustration purposes only and may be purchased separately.	Jewelry & Watches > Fine Jewelry > Necklaces & Pendants	http://www.avianneandco.com/14k-yellow-gold-unisex-diamond-cross-0-10-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/7/p77412-1_2.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/p/7/p77412-2.jpg	271	725	New	Avianne & Co	P77412	Yes	men	Absolute	0.25
P09765	14K White Solid Gold Diamond Cross Pendant 3.05 Ctw	"This glamorous unisex diamond cross pendant is crafted in lustrous 14K White Gold. The frame is prong set with eleven brilliant round cut diamonds which are G in color and VS2 in clarity and 0.30 points each. The frame measures to 1 1/4 Inches in length and 15/16 Inches in width. Weighing approximately 5 grams, this exquisite unisex diamond cross pendant is an ideal accessory which guarantees an onlookers attention."	Jewelry & Watches > Fine Jewelry > Necklaces & Pendants	http://www.avianneandco.com/14k-white-gold-unisex-diamond-cross-pendant-3-05-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/0/p09765-1_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/p/0/p09765-2.jpg	5437	15500	New	Avianne & Co	P09765	Yes	men	Absolute	0.25
BR25662	Yellow Onyx Ball Bead Bracelet	This onyx ball bead bracelet measures to 8 inches in length. The center ball is pave set with brilliant yellow swarovski crystals and it measures to 12 mm in width. Twelve black onyx stones which surround the bracelet measure measure to 10 mm in width. The adjustable black bracelet features additional two small onyx stones placed on opposite ends.	Jewelry & Watches > Fine Jewelry > Bracelets	http://www.avianneandco.com/yellow-onyx-ball-bead-bracelet.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/r/br25662-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/b/r/br25662-2.jpg	68	350	New	Avianne & Co	BR25662	Yes	men	Absolute	0.25
VE02098	10K White Solid Gold Diamond Stud Earrings 0.20 Ctw	"These lovely diamond stud earrings are handcrafted in lustrous 10K white gold. The center of each earring is detailed with brilliant round cut small diamonds which are H in color and SI in clarity. The frame measures to 1/4 inches in length and width and securely locks with a durable screw back closure. Weighing approximately 1.2 grams, these small diamond stud earrings are ideal for both men and women."	Jewelry & Watches > Fine Jewelry > Earrings	http://www.avianneandco.com/10k-white-gold-diamond-stud-earrings-0-20-ctw-6733.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/e/ve02098-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/v/e/ve02098-2.jpg	240	450	New	Avianne & Co	VE02098	Yes	men	Absolute	0.25
ER1860LYL	14K Yellow Gold Diamond Stud Yankee Earrings 0.13 Ctw	"These finely detailed unisex diamond stud earrings are crafted in highly gleaming 14K Yellow Gold. The center features New York Yankees logo which is outlined with brilliant small round cut diamonds that weigh a total of 0.13 carats. The frame measures to 3/8 Inches in length and width and weighs approximately 1.8 grams. Securely locking with a screw back closure, these lovely unisex diamond earring studs are ideal for a casual fashion wear."	Jewelry & Watches > Fine Jewelry > Earrings	http://www.avianneandco.com/14k-yellow-gold-diamond-stud-yankee-earrings-0-13-ctw.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/r/er1860lyl-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/e/r/er1860lyl-1.jpg	271	750	New	Avianne & Co	ER1860LYL	Yes	men	Absolute	0.25
BR26163	Grey and Crystal Ball Bead Bracelet	This one of a kind ball bead bracelet measures to 7 inches in length. The front features three crystal balls and six grey onyx stones placed across the frame. The black adjustable string features two additional grey stones on opposite ends.	Jewelry & Watches > Fine Jewelry > Bracelets	http://www.avianneandco.com/turquoise-ball-bead-bracelet-11319.html	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/r/br26163-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/b/r/br26163-2.jpg	56	350	New	Avianne & Co	BR26163	Yes	men	Absolute	0.25
